Track Checkpoint Segments
Format: Shape_Index Segment_Index Position_X Position_Y Size_X Size_Y Rotation_Degrees
========================================
Shape 0:
  Segment 0: Pos(350, 230) Size(2.26421, 100) Rot(353.157)
  Segment 204: Pos(1875.92, 276.467) Size(2.7717, 100) Rot(323.366)
  Segment 220: Pos(1895.81, 260.727) Size(2.94891, 100) Rot(320.024)
  Segment 236: Pos(1916.02, 242.851) Size(3.13474, 100) Rot(317.07)
  Segment 251: Pos(1935.25, 224.154) Size(3.31596, 100) Rot(314.608)
  Segment 267: Pos(1956.07, 202.143) Size(3.51478, 100) Rot(312.266)
  Segment 283: Pos(1977.2, 177.996) Size(3.71908, 100) Rot(310.178)
  Segment 299: Pos(1998.65, 151.714) Size(3.92777, 100) Rot(308.31)

Shape 4:
  Segment 0: Pos(2000, 150) Size(1.60751, 100) Rot(308.199)
  Segment 26: Pos(2014.71, 133.216) Size(1.4828, 100) Rot(314.538)
  Segment 52: Pos(2030.1, 119.414) Size(1.3804, 100) Rot(321.927)
  Segment 78: Pos(2046.15, 108.594) Size(1.30439, 100) Rot(330.344)
  Segment 105: Pos(2063.52, 100.515) Size(1.25787, 100) Rot(339.952)
  Segment 131: Pos(2080.93, 95.7742) Size(1.24886, 100) Rot(349.623)
  Segment 157: Pos(2099.01, 94.0158) Size(1.27582, 100) Rot(359.169)
  Segment 183: Pos(2117.76, 95.2397) Size(1.3353, 100) Rot(8.09875)
  Segment 210: Pos(2137.93, 99.6672) Size(1.42834, 100) Rot(16.3799)
  Segment 236: Pos(2158.04, 106.97) Size(1.54325, 100) Rot(23.279)
  Segment 262: Pos(2178.81, 117.256) Size(1.67596, 100) Rot(29.1576)
  Segment 288: Pos(2200.25, 130.523) Size(1.82396, 100) Rot(34.1278)
  Segment 315: Pos(2223.23, 147.457) Size(1.99018, 100) Rot(38.4734)
  Segment 341: Pos(2246.03, 166.804) Size(2.15899, 100) Rot(42.0077)
  Segment 367: Pos(2269.5, 189.133) Size(2.33479, 100) Rot(45.0192)
  Segment 393: Pos(2293.64, 214.444) Size(2.51605, 100) Rot(47.6026)
  Segment 420: Pos(2319.41, 243.885) Size(2.70901, 100) Rot(49.9141)
  Segment 446: Pos(2344.91, 275.276) Size(2.89871, 100) Rot(51.846)
  Segment 472: Pos(2371.07, 309.648) Size(3.0909, 100) Rot(53.5389)
  Segment 499: Pos(2398.95, 348.499) Size(3.29304, 100) Rot(55.0862)

Shape 5:
  Segment 0: Pos(2400, 350) Size(1.89487, 100) Rot(55.1398)
  Segment 15: Pos(2408.34, 363.075) Size(1.82531, 100) Rot(59.9148)
  Segment 31: Pos(2415.68, 377.246) Size(1.76624, 100) Rot(65.3835)
  Segment 47: Pos(2421.43, 391.646) Size(1.72432, 100) Rot(71.1766)
  Segment 62: Pos(2425.36, 405.357) Size(1.70173, 100) Rot(76.8164)
  Segment 78: Pos(2428.02, 420.204) Size(1.69629, 100) Rot(82.9373)
  Segment 94: Pos(2429.07, 435.282) Size(1.71018, 100) Rot(89.0322)
  Segment 110: Pos(2428.53, 450.59) Size(1.743, 100) Rot(94.9671)
  Segment 125: Pos(2426.57, 465.152) Size(1.78986, 100) Rot(100.284)
  Segment 141: Pos(2422.93, 480.907) Size(1.85604, 100) Rot(105.613)
  Segment 157: Pos(2417.7, 496.892) Size(1.93696, 100) Rot(110.538)
  Segment 173: Pos(2410.87, 513.108) Size(2.03085, 100) Rot(115.04)
  Segment 188: Pos(2403.02, 528.52) Size(2.12947, 100) Rot(118.878)
  Segment 204: Pos(2393.09, 545.183) Size(2.24383, 100) Rot(122.585)
  Segment 220: Pos(2381.57, 562.076) Size(2.36672, 100) Rot(125.919)
  Segment 236: Pos(2368.45, 579.2) Size(2.49669, 100) Rot(128.916)
  Segment 251: Pos(2354.7, 595.463) Size(2.6242, 100) Rot(131.449)
  Segment 267: Pos(2338.49, 613.033) Size(2.7648, 100) Rot(133.889)
  Segment 283: Pos(2320.67, 630.834) Size(2.91075, 100) Rot(136.088)
  Segment 299: Pos(2301.27, 648.865) Size(3.05992, 100) Rot(138.075)

Shape 6:
  Segment 0: Pos(2300, 650) Size(2.24619, 100) Rot(138.192)
  Segment 10: Pos(2291.15, 658.541) Size(2.17813, 100) Rot(133.783)
  Segment 20: Pos(2283.23, 667.499) Size(2.12458, 100) Rot(129.117)
  Segment 31: Pos(2275.59, 677.834) Size(2.08204, 100) Rot(123.742)
  Segment 41: Pos(2269.63, 687.667) Size(2.05986, 100) Rot(118.699)
  Segment 52: Pos(2264.15, 698.965) Size(2.05442, 100) Rot(113.071)
  Segment 62: Pos(2260.14, 709.673) Size(2.06675, 100) Rot(107.97)
  Segment 73: Pos(2256.81, 721.933) Size(2.09862, 100) Rot(102.471)
  Segment 83: Pos(2254.76, 733.517) Size(2.14419, 100) Rot(97.6507)
  Segment 94: Pos(2253.58, 746.739) Size(2.21071, 100) Rot(92.613)
  Segment 104: Pos(2253.49, 759.198) Size(2.28485, 100) Rot(88.3147)
  Segment 115: Pos(2254.46, 773.383) Size(2.38049, 100) Rot(83.9219)
  Segment 125: Pos(2256.32, 786.717) Size(2.47854, 100) Rot(80.2401)
  Segment 136: Pos(2259.45, 801.865) Size(2.59696, 100) Rot(76.5268)
  Segment 146: Pos(2263.27, 816.073) Size(2.71335, 100) Rot(73.4434)
  Segment 157: Pos(2268.55, 832.184) Size(2.8493, 100) Rot(70.3521)
  Segment 167: Pos(2274.33, 847.268) Size(2.97967, 100) Rot(67.7934)
  Segment 178: Pos(2281.76, 864.341) Size(3.12931, 100) Rot(65.2305)
  Segment 188: Pos(2289.49, 880.299) Size(3.27015, 100) Rot(63.1078)
  Segment 199: Pos(2299.07, 898.335) Size(3.4299, 100) Rot(60.9776)

Shape 7:
  Segment 0: Pos(2300, 900) Size(2.29391, 100) Rot(60.7937)
  Segment 10: Pos(2306.03, 911.196) Size(2.28418, 100) Rot(62.5624)
  Segment 20: Pos(2311.7, 922.528) Size(2.27636, 100) Rot(64.345)
  Segment 31: Pos(2317.5, 935.153) Size(2.27061, 100) Rot(66.3178)
  Segment 41: Pos(2322.38, 946.774) Size(2.26744, 100) Rot(68.1185)
  Segment 52: Pos(2327.32, 959.716) Size(2.26669, 100) Rot(70.1028)
  Segment 62: Pos(2331.42, 971.626) Size(2.26843, 100) Rot(71.9061)
  Segment 73: Pos(2335.5, 984.885) Size(2.27287, 100) Rot(73.8847)
  Segment 83: Pos(2338.81, 997.083) Size(2.2794, 100) Rot(75.6749)
  Segment 94: Pos(2342.03, 1010.66) Size(2.28868, 100) Rot(77.6308)
  Segment 104: Pos(2344.57, 1023.15) Size(2.2999, 100) Rot(79.393)
  Segment 115: Pos(2346.93, 1037.04) Size(2.31429, 100) Rot(81.3103)
  Segment 125: Pos(2348.69, 1049.81) Size(2.32989, 100) Rot(83.0309)
  Segment 136: Pos(2350.19, 1064.02) Size(2.34911, 100) Rot(84.8957)
  Segment 146: Pos(2351.17, 1077.09) Size(2.36899, 100) Rot(86.563)
  Segment 157: Pos(2351.81, 1091.62) Size(2.39305, 100) Rot(88.3637)
  Segment 167: Pos(2352, 1104.97) Size(2.41677, 100) Rot(89.9683)
  Segment 178: Pos(2351.78, 1119.81) Size(2.44519, 100) Rot(91.6959)
  Segment 188: Pos(2351.2, 1133.45) Size(2.47295, 100) Rot(93.2309)
  Segment 199: Pos(2350.12, 1148.61) Size(2.5054, 100) Rot(94.879)

Shape 8:
  Segment 0: Pos(2350, 1150) Size(1.43547, 100) Rot(95.0267)
  Segment 36: Pos(2346.16, 1176.9) Size(1.28219, 100) Rot(101.608)
  Segment 73: Pos(2339.44, 1200.93) Size(1.14757, 100) Rot(110.08)
  Segment 110: Pos(2329.93, 1221.29) Size(1.04447, 100) Rot(120.504)
  Segment 147: Pos(2317.62, 1237.97) Size(0.983061, 100) Rot(132.714)
  Segment 183: Pos(2302.95, 1250.69) Size(0.970238, 100) Rot(145.536)
  Segment 220: Pos(2285.12, 1260.13) Size(1.00702, 100) Rot(158.414)
  Segment 257: Pos(2264.48, 1265.91) Size(1.09063, 100) Rot(169.862)
  Segment 294: Pos(2241.05, 1268.01) Size(1.21074, 100) Rot(179.378)
  Segment 331: Pos(2214.81, 1266.45) Size(1.35691, 100) Rot(187.016)
  Segment 367: Pos(2186.6, 1261.4) Size(1.51767, 100) Rot(192.934)
  Segment 404: Pos(2154.84, 1252.59) Size(1.69667, 100) Rot(197.795)
  Segment 441: Pos(2120.29, 1240.12) Size(1.88506, 100) Rot(201.705)
  Segment 478: Pos(2082.93, 1223.97) Size(2.08101, 100) Rot(204.892)
  Segment 515: Pos(2042.77, 1204.15) Size(2.28205, 100) Rot(207.523)
  Segment 551: Pos(2001.02, 1181.34) Size(2.48183, 100) Rot(209.669)
  Segment 588: Pos(1955.34, 1154.28) Size(2.6904, 100) Rot(211.54)
  Segment 625: Pos(1906.86, 1123.55) Size(2.90111, 100) Rot(213.14)
  Segment 662: Pos(1855.58, 1089.15) Size(3.1131, 100) Rot(214.523)
  Segment 699: Pos(1801.5, 1051.08) Size(3.32739, 100) Rot(215.728)

Shape 9:
  Segment 0: Pos(1800, 1050) Size(3.15683, 100) Rot(215.759)
  Segment 21: Pos(1769.74, 1029.46) Size(3.11236, 100) Rot(212.553)
  Segment 42: Pos(1738.76, 1010.91) Size(3.07807, 100) Rot(209.265)
  Segment 63: Pos(1707.07, 994.342) Size(3.05377, 100) Rot(205.914)
  Segment 84: Pos(1674.65, 979.759) Size(3.04077, 100) Rot(202.521)
  Segment 105: Pos(1641.52, 967.161) Size(3.03875, 100) Rot(199.109)
  Segment 126: Pos(1607.66, 956.549) Size(3.04699, 100) Rot(195.704)
  Segment 147: Pos(1573.09, 947.921) Size(3.06554, 100) Rot(192.328)
  Segment 168: Pos(1537.79, 941.279) Size(3.09521, 100) Rot(189.004)
  Segment 189: Pos(1501.78, 936.622) Size(3.13507, 100) Rot(185.753)
  Segment 210: Pos(1465.05, 933.949) Size(3.18406, 100) Rot(182.593)
  Segment 231: Pos(1427.59, 933.262) Size(3.24243, 100) Rot(179.537)
  Segment 252: Pos(1389.42, 934.56) Size(3.31032, 100) Rot(176.598)
  Segment 273: Pos(1350.53, 937.843) Size(3.38611, 100) Rot(173.784)
  Segment 294: Pos(1310.92, 943.111) Size(3.47013, 100) Rot(171.098)
  Segment 315: Pos(1270.59, 950.364) Size(3.56092, 100) Rot(168.545)
  Segment 336: Pos(1229.54, 959.602) Size(3.65866, 100) Rot(166.122)
  Segment 357: Pos(1187.77, 970.825) Size(3.76253, 100) Rot(163.83)
  Segment 378: Pos(1145.28, 984.034) Size(3.87194, 100) Rot(161.664)
  Segment 399: Pos(1102.08, 999.227) Size(3.98646, 100) Rot(159.62)

Shape 10:
  Segment 0: Pos(1100, 1000) Size(2.78306, 100) Rot(159.525)
  Segment 21: Pos(1069.53, 1011.17) Size(2.78158, 100) Rot(160.2)
  Segment 42: Pos(1038.94, 1021.98) Size(2.77999, 100) Rot(160.876)
  Segment 63: Pos(1008.23, 1032.43) Size(2.77914, 100) Rot(161.552)
  Segment 84: Pos(977.419, 1042.51) Size(2.77874, 100) Rot(162.229)
  Segment 105: Pos(946.489, 1052.22) Size(2.77876, 100) Rot(162.906)
  Segment 126: Pos(915.446, 1061.56) Size(2.77891, 100) Rot(163.582)
  Segment 147: Pos(884.29, 1070.54) Size(2.77978, 100) Rot(164.259)
  Segment 168: Pos(853.02, 1079.16) Size(2.78097, 100) Rot(164.935)
  Segment 189: Pos(821.636, 1087.41) Size(2.78245, 100) Rot(165.61)
  Segment 210: Pos(790.139, 1095.29) Size(2.784, 100) Rot(166.285)
  Segment 231: Pos(758.528, 1102.81) Size(2.78646, 100) Rot(166.959)
  Segment 252: Pos(726.803, 1109.96) Size(2.78883, 100) Rot(167.631)
  Segment 273: Pos(694.965, 1116.75) Size(2.79194, 100) Rot(168.302)
  Segment 294: Pos(663.013, 1123.17) Size(2.79526, 100) Rot(168.972)
  Segment 315: Pos(630.948, 1129.23) Size(2.79913, 100) Rot(169.64)
  Segment 336: Pos(598.769, 1134.92) Size(2.80319, 100) Rot(170.306)
  Segment 357: Pos(566.477, 1140.24) Size(2.80773, 100) Rot(170.97)
  Segment 378: Pos(534.071, 1145.2) Size(2.81255, 100) Rot(171.632)
  Segment 399: Pos(501.551, 1149.79) Size(2.81787, 100) Rot(172.291)

Shape 11:
  Segment 0: Pos(500, 1150) Size(2.00799, 100) Rot(172.323)
  Segment 15: Pos(483.836, 1151.38) Size(1.88216, 100) Rot(178.117)
  Segment 31: Pos(467.599, 1150.95) Size(1.77236, 100) Rot(185.129)
  Segment 47: Pos(452.4, 1148.56) Size(1.69246, 100) Rot(192.937)
  Segment 62: Pos(439.094, 1144.53) Size(1.64876, 100) Rot(200.816)
  Segment 78: Pos(425.906, 1138.34) Size(1.63816, 100) Rot(209.516)
  Segment 94: Pos(413.755, 1130.19) Size(1.66525, 100) Rot(218.142)
  Segment 110: Pos(402.642, 1120.07) Size(1.72841, 100) Rot(226.325)
  Segment 125: Pos(393.166, 1108.81) Size(1.81716, 100) Rot(233.357)
  Segment 141: Pos(384.063, 1094.89) Size(1.93845, 100) Rot(240.049)
  Segment 157: Pos(375.998, 1079.01) Size(2.08271, 100) Rot(245.886)
  Segment 173: Pos(368.971, 1061.18) Size(2.24555, 100) Rot(250.923)
  Segment 188: Pos(363.326, 1042.67) Size(2.41167, 100) Rot(255)
  Segment 204: Pos(358.309, 1021.03) Size(2.60067, 100) Rot(258.754)
  Segment 220: Pos(354.33, 997.429) Size(2.79876, 100) Rot(261.988)
  Segment 236: Pos(351.389, 971.867) Size(3.00517, 100) Rot(264.785)
  Segment 251: Pos(349.574, 946.12) Size(3.20396, 100) Rot(267.076)
  Segment 267: Pos(348.643, 916.757) Size(3.42097, 100) Rot(269.222)
  Segment 283: Pos(348.75, 885.432) Size(3.64206, 100) Rot(271.109)
  Segment 299: Pos(349.894, 852.146) Size(3.86662, 100) Rot(272.779)

Shape 12:
  Segment 0: Pos(350, 850) Size(3.24184, 100) Rot(272.877)
  Segment 10: Pos(350.36, 832.145) Size(3.18435, 100) Rot(269.399)
  Segment 20: Pos(349.629, 814.591) Size(3.13926, 100) Rot(265.806)
  Segment 31: Pos(347.565, 795.628) Size(3.10394, 100) Rot(261.749)
  Segment 41: Pos(344.544, 778.705) Size(3.08601, 100) Rot(257.997)
  Segment 52: Pos(339.962, 760.437) Size(3.08152, 100) Rot(253.836)
  Segment 62: Pos(334.651, 744.144) Size(3.09164, 100) Rot(250.059)
  Segment 73: Pos(327.549, 726.57) Size(3.11804, 100) Rot(245.951)
  Segment 83: Pos(319.948, 710.909) Size(3.15573, 100) Rot(242.292)
  Segment 94: Pos(310.328, 694.029) Size(3.21165, 100) Rot(238.381)
  Segment 104: Pos(300.437, 678.999) Size(3.27486, 100) Rot(234.955)
  Segment 115: Pos(288.297, 662.813) Size(3.35731, 100) Rot(231.349)
  Segment 125: Pos(276.116, 648.414) Size(3.44339, 100) Rot(228.23)
  Segment 136: Pos(261.458, 632.922) Size(3.54909, 100) Rot(224.984)
  Segment 146: Pos(246.987, 619.154) Size(3.65425, 100) Rot(222.204)
  Segment 157: Pos(229.809, 604.357) Size(3.77954, 100) Rot(219.331)
  Segment 167: Pos(213.048, 591.22) Size(3.90083, 100) Rot(216.885)
  Segment 178: Pos(193.352, 577.116) Size(4.04203, 100) Rot(214.368)
  Segment 188: Pos(174.301, 564.61) Size(4.17683, 100) Rot(212.232)
  Segment 199: Pos(152.085, 551.201) Size(4.33112, 100) Rot(210.038)

Shape 13:
  Segment 0: Pos(150, 550) Size(2.25928, 100) Rot(209.847)
  Segment 10: Pos(139.701, 543.423) Size(2.13251, 100) Rot(215.445)
  Segment 20: Pos(130.644, 536.222) Size(2.02874, 100) Rot(221.687)
  Segment 31: Pos(122.116, 527.581) Size(1.94564, 100) Rot(229.228)
  Segment 41: Pos(115.668, 519.071) Size(1.90161, 100) Rot(236.551)
  Segment 52: Pos(110.009, 508.99) Size(1.89081, 100) Rot(244.861)
  Segment 62: Pos(106.168, 499.171) Size(1.91548, 100) Rot(252.37)
  Segment 73: Pos(103.378, 487.649) Size(1.97898, 100) Rot(260.277)
  Segment 83: Pos(102.146, 476.521) Size(2.0673, 100) Rot(266.941)
  Segment 94: Pos(102.225, 463.559) Size(2.19319, 100) Rot(273.562)
  Segment 104: Pos(103.6, 451.122) Size(2.33014, 100) Rot(278.901)
  Segment 115: Pos(106.548, 436.72) Size(2.50114, 100) Rot(284.053)
  Segment 125: Pos(110.532, 422.973) Size(2.67165, 100) Rot(288.136)
  Segment 136: Pos(116.349, 407.132) Size(2.87279, 100) Rot(292.047)
  Segment 146: Pos(122.941, 392.076) Size(3.06563, 100) Rot(295.144)
  Segment 157: Pos(131.627, 374.794) Size(3.28665, 100) Rot(298.121)
  Segment 167: Pos(140.827, 358.429) Size(3.49423, 100) Rot(300.494)
  Segment 178: Pos(152.382, 339.707) Size(3.72864, 100) Rot(302.795)
  Segment 188: Pos(164.19, 322.032) Size(3.94631, 100) Rot(304.646)
  Segment 199: Pos(178.614, 301.87) Size(4.18998, 100) Rot(306.458)

Shape 14:
  Segment 0: Pos(177.018, 304.013) Size(0.92005, 100) Rot(306.613)
  Segment 10: Pos(180.338, 299.942) Size(0.97877, 100) Rot(311.625)
  Segment 20: Pos(184.219, 295.91) Size(1.04395, 100) Rot(316.042)
  Segment 31: Pos(189.136, 291.52) Size(1.12191, 100) Rot(320.281)
  Segment 41: Pos(194.194, 287.57) Size(1.19727, 100) Rot(323.64)
  Segment 52: Pos(200.407, 283.269) Size(1.2844, 100) Rot(326.867)
  Segment 62: Pos(206.644, 279.401) Size(1.36658, 100) Rot(329.436)
  Segment 73: Pos(214.153, 275.191) Size(1.45982, 100) Rot(331.922)
  Segment 83: Pos(221.568, 271.404) Size(1.54664, 100) Rot(333.918)
  Segment 94: Pos(230.372, 267.284) Size(1.644, 100) Rot(335.867)
  Segment 104: Pos(238.965, 263.58) Size(1.73399, 100) Rot(337.447)
  Segment 115: Pos(249.065, 259.55) Size(1.83438, 100) Rot(339.005)
  Segment 125: Pos(258.836, 255.927) Size(1.92666, 100) Rot(340.279)
  Segment 136: Pos(270.232, 251.987) Size(2.0291, 100) Rot(341.545)
  Segment 146: Pos(281.181, 248.446) Size(2.12308, 100) Rot(342.59)
  Segment 157: Pos(293.873, 244.597) Size(2.22711, 100) Rot(343.637)
  Segment 167: Pos(306, 241.138) Size(2.32235, 100) Rot(344.507)
  Segment 178: Pos(319.988, 237.378) Size(2.42768, 100) Rot(345.384)
  Segment 188: Pos(333.293, 234.001) Size(2.52378, 100) Rot(346.118)
  Segment 199: Pos(348.577, 230.331) Size(2.63, 100) Rot(346.864)

